,Open,High,Low,Close,Adj Close,Volume
2020-12-13,225.89,230.5,224.6,226.81,226.81,1972133
2020-12-14,226.79,233.47,226.43,228.13,228.13,2220200
2020-12-15,229.7,230.6,226.0,228.81,228.81,1188800
2020-12-16,229.66,232.75,228.55,232.11,232.11,1708700
2020-12-17,233.0,237.35,232.32,236.92,236.92,1992800
2020-12-18,238.54,239.71,234.47,236.72,236.72,2929300
2020-12-19,236.7,238.33,232.58,236.0,236.0,2475266
2020-12-20,234.86,236.96,230.69,235.27,235.27,2021233
2020-12-21,233.02,235.58,228.8,234.55,234.55,1567200
2020-12-22,235.01,235.8,232.35,234.9,234.9,1127800
2020-12-23,235.4,238.57,234.08,235.84,235.84,1012900
2020-12-24,237.17,237.5,233.48,234.46,234.46,451700
2020-12-25,236.73,237.24,233.16,233.96,233.96,564575
2020-12-26,236.28,236.99,232.84,233.47,233.47,677450
2020-12-27,235.84,236.73,232.52,232.97,232.97,790325
2020-12-28,235.4,236.48,232.2,232.47,232.47,903200
2020-12-29,233.94,236.56,232.96,233.49,233.49,656600
